nom,id,nom,match,"﻿""mcode""",population,établissements,eta per capita,habitant par éta
Stanstead (Canton),3607953116,stanstead,Stanstead,45008,2788,7,"0,00251076040172166","398,285714285714"
Grosses-Roches,3607998289,grossesroches,Grosses-Roches,8015,403,1,"0,00248138957816377",403
Saint-Jean-de-l'Île-d'Orléans,3608099226,saintjeandeliledorleans,Saint-Jean-de-l'Île-d'Orléans,20015,1214,3,"0,00247116968698517","404,666666666667"
Gros-Mécatina,3607734577,grosmecatina,Gros-Mécatina,98014,405,1,"0,00246913580246914",405
Boileau,3607572122,boileau,Boileau,80115,410,1,"0,0024390243902439",410
Dorval,3600197562,dorval,Dorval,66087,19993,47,"0,00235082278797579","425,382978723404"
Sainte-Émélie-de-l'Énergie,3607707048,sainteemeliedelenergie,Sainte-Émélie-de-l'Énergie,62070,1703,4,"0,00234879624192601","425,75"
Notre-Dame-de-la-Salette,3607570624,notredamedelasalette,Notre-Dame-de-la-Salette,80087,853,2,"0,00234466588511137","426,5"
Saint-Marcel,3608195806,saintmarcel,Saint-Marcel,17020,429,1,"0,00233100233100233",429
Saint-Côme,3607707051,saintcome,Saint-Côme,62065,2600,6,"0,00230769230769231","433,333333333333"
Val-des-Bois,3607361939,valdesbois,Val-des-Bois,80140,874,2,"0,0022883295194508",437
Grandes-Piles,3608393955,grandespiles,Grandes-Piles,35040,446,1,"0,00224215246636771",446
Bonaventure,3608271759,bonaventure,Bonaventure,5045,2758,6,"0,00217548948513416","459,666666666667"
Les Escoumins,3607719067,lesescoumins,Les Escoumins,95025,1849,4,"0,00216333153055706","462,25"
Saint-Mathieu-du-Parc,3607711419,saintmathieuduparc,Saint-Mathieu-du-Parc,51070,1389,3,"0,00215982721382289",463
Thorne,3607041801,thorne,Thorne,84045,465,1,"0,0021505376344086",465
Hudson,3607696243,hudson,Hudson,71100,5614,12,"0,0021375133594585","467,833333333333"
Portneuf,3608277021,portneuf,Portneuf,34048,3280,7,"0,00213414634146342","468,571428571429"
Saint-Roch-des-Aulnaies,3608188529,saintrochdesaulnaies,Saint-Roch-des-Aulnaies,17065,938,2,"0,00213219616204691",469
Saint-Clément,3608228424,saintclement,Saint-Clément,11005,471,1,"0,00212314225053079",471
Saint-Sauveur,3607697467,saintsauveur,Saint-Sauveur,77043,10874,23,"0,00211513702409417","472,782608695652"
Lac-Saguay,3607360511,lacsaguay,Lac-Saguay,79060,476,1,"0,00210084033613445",476
Grosse-Île,3608402196,grosseile,Grosse-Île,1042,478,1,"0,00209205020920502",478
Scotstown,3607953230,scotstown,Scotstown,41080,479,1,"0,00208768267223382",479
Chute-Saint-Philippe,3607360513,chutesaintphilippe,Chute-Saint-Philippe,79065,982,2,"0,00203665987780041",491
Dosquet,3608110663,dosquet,Dosquet,33040,997,2,"0,00200601805416249","498,5"
Brébeuf,3607362396,brebeuf,Brébeuf,78075,999,2,"0,002002002002002","499,5"
Duhamel,3607361793,duhamel,Duhamel,80135,502,1,"0,00199203187250996",502
Notre-Dame-du-Bon-Conseil (village),3607932211,notredamedubonconseil,Notre-Dame-du-Bon-Conseil,49080,1008,2,"0,00198412698412698",504
Notre-Dame-du-Bon-Conseil (paroisse),3607932212,notredamedubonconseil,Notre-Dame-du-Bon-Conseil,49080,1008,2,"0,00198412698412698",504
Rigaud,3607696255,rigaud,Rigaud,71133,8104,16,"0,00197433366238894","506,5"
Lac-Brome,3607926994,lacbrome,Lac-Brome,46075,6085,12,"0,00197206244864421","507,083333333333"
Low,3607045907,low,Low,83010,1056,2,"0,00189393939393939",528
Saint-Ludger,3608064412,saintludger,Saint-Ludger,30072,1058,2,"0,00189035916824197",529
Saint-Bernard-de-Lacolle,3607785077,saintbernarddelacolle,Saint-Bernard-de-Lacolle,68005,1606,3,"0,00186799501867995","535,333333333333"
L'Isle-aux-Coudres,3607717121,lisleauxcoudres,L'Isle-aux-Coudres,16023,1084,2,"0,0018450184501845",542
Saint-Aimé-des-Lacs,3607717115,saintaimedeslacs,Saint-Aimé-des-Lacs,15030,1113,2,"0,00179694519317161","556,5"
Causapscal,3608150932,causapscal,Causapscal,7018,2248,4,"0,00177935943060498",562
Baie-Saint-Paul,3607717122,baiesaintpaul,Baie-Saint-Paul,16013,7600,13,"0,00171052631578947","584,615384615385"
Les Îles-de-la-Madeleine,3608402197,lesilesdelamadeleine,Les Îles-de-la-Madeleine,1023,12320,21,"0,00170454545454545","586,666666666667"
Frelighsburg,3607927001,frelighsburg,Frelighsburg,46010,1178,2,"0,00169779286926995",589
Val-David,3607692497,valdavid,Val-David,78010,5306,9,"0,00169619298906898","589,555555555556"
Chambord,3608164880,chambord,Chambord,91020,1781,3,"0,00168444693992139","593,666666666667"
Grenville,3607697277,grenville,Grenville,76055,1783,3,"0,00168255748738082","594,333333333333"
Lac-Sainte-Marie,3607045909,lacsaintemarie,Lac-Sainte-Marie,83020,600,1,"0,00166666666666667",600
Orford,3607953118,orford,Orford,45115,4815,8,"0,00166147455867082","601,875"
Sainte-Justine,3608199037,saintejustine,Sainte-Justine,28045,1809,3,"0,00165837479270315",603
Saint-Michel-des-Saints,3607707045,saintmicheldessaints,Saint-Michel-des-Saints,62085,2418,4,"0,00165425971877585","604,5"
Delson,3607785150,delson,Delson,67025,8468,14,"0,00165328294756731","604,857142857143"
Fermont,3607722329,fermont,Fermont,97035,2439,4,"0,001640016400164","609,75"
Témiscouata-sur-le-Lac,3608228987,temiscouatasurlelac,Témiscouata-sur-le-Lac,13073,4922,8,"0,0016253555465258","615,25"
Baie-des-Sables,3607998299,baiedessables,Baie-des-Sables,8080,618,1,"0,00161812297734628",618
Matapédia,3608274887,matapedia,Matapédia,6045,618,1,"0,00161812297734628",618
Potton,3607953121,potton,Potton,45030,1883,3,"0,00159320233669676","627,666666666667"
Saint-François-de-Sales,3608164879,saintfrancoisdesales,Saint-François-de-Sales,91015,630,1,"0,00158730158730159",630
Mont-Blanc,3607692504,montblanc,Mont-Blanc,78047,3800,6,"0,00157894736842105","633,333333333333"
