nom,id,nom,match,"﻿""mcode"""
La Tuque,3607359866,latuque,La Tuque,90012
Belcourt,3607359892,belcourt,Belcourt,89050
Champneuf,3607359893,champneuf,Champneuf,88005
La Corne,3607360008,lacorne,La Corne,88030
Landrienne,3607360009,landrienne,Landrienne,88035
Barraute,3607360010,barraute,Barraute,88022
Malartic,3607360108,malartic,Malartic,89015
Rivière-Héva,3607360109,riviereheva,Rivière-Héva,89010
La Motte,3607360110,lamotte,La Motte,88045
Preissac,3607360111,preissac,Preissac,88090
Rouyn-Noranda,3607360112,rouynnoranda,Rouyn-Noranda,86042
Taschereau,3607360198,taschereau,Taschereau,87042
Authier,3607360199,authier,Authier,87050
Sainte-Germaine-Boulé,3607360200,saintegermaineboule,Sainte-Germaine-Boulé,87030
Poularies,3607360201,poularies,Poularies,87035
Palmarolle,3607360202,palmarolle,Palmarolle,87025
Gallichan,3607360203,gallichan,Gallichan,87020
Roquemaure,3607360204,roquemaure,Roquemaure,87015
Rapide-Danseur,3607360205,rapidedanseur,Rapide-Danseur,87010
Duparquet,3607360206,duparquet,Duparquet,87005
Saint-Marc-de-Figuery,3607360325,saintmarcdefiguery,Saint-Marc-de-Figuery,88040
Saint-Mathieu-d'Harricana,3607360326,saintmathieudharricana,Saint-Mathieu-d'Harricana,88050
Sainte-Gertrude-Manneville,3607360327,saintegertrudemanneville,Sainte-Gertrude-Manneville,88085
Trécesson,3607360328,trecesson,Trécesson,88075
Launay,3607360329,launay,Launay,88080
Berry,3607360330,berry,Berry,88070
Authier-Nord,3607360331,authiernord,Authier-Nord,87100
Saint-Dominique-du-Rosaire,3607360337,saintdominiquedurosaire,Saint-Dominique-du-Rosaire,88065
Sainte-Anne-du-Lac,3607360361,sainteannedulac,Sainte-Anne-du-Lac,79115
Lac-Saint-Paul,3607360492,lacsaintpaul,Lac-Saint-Paul,79105
Mont-Saint-Michel,3607360493,montsaintmichel,Mont-Saint-Michel,79110
Lac-Saguay,3607360511,lacsaguay,Lac-Saguay,79060
Lac-des-Écorces,3607360512,lacdesecorces,Lac-des-Écorces,79078
Chute-Saint-Philippe,3607360513,chutesaintphilippe,Chute-Saint-Philippe,79065
L'Ascension,3607361694,lascension,L'Ascension,79050
Kiamika,3607361739,kiamika,Kiamika,79025
Duhamel,3607361793,duhamel,Duhamel,80135
Bowman,3607361798,bowman,Bowman,80145
Val-des-Bois,3607361939,valdesbois,Val-des-Bois,80140
Lac-Simon,3607362049,lacsimon,Lac-Simon,80095
Montpellier,3607362050,montpellier,Montpellier,80090
Lac-du-Cerf,3607362266,lacducerf,Lac-du-Cerf,79015
Saint-Aimé-du-Lac-des-Îles,3607362282,saintaimedulacdesiles,Saint-Aimé-du-Lac-des-Îles,79022
Lac-Tremblant-Nord,3607362392,lactremblantnord,Lac-Tremblant-Nord,78127
La Minerve,3607362393,laminerve,La Minerve,78130
Labelle,3607362394,labelle,Labelle,78120
Mont-Tremblant,3607362395,monttremblant,Mont-Tremblant,78102
Brébeuf,3607362396,brebeuf,Brébeuf,78075
La Conception,3607362397,laconception,La Conception,78115
Amherst,3607362398,amherst,Amherst,78070
Lac-des-Plages,3607362399,lacdesplages,Lac-des-Plages,80130
Lac-Supérieur,3607362415,lacsuperieur,Lac-Supérieur,78095
Wôlinak,3607403823,wolinak,Wôlinak,38802
East Hawkesbury,3607426623,easthawkesbury,#N/A,#N/A
Wolastoqiyik Wahsipekuk,3607516050,wolastoqiyikwahsipekuk,#N/A,#N/A
Lac-Simon,3607526846,lacsimon,Lac-Simon,80095
Ripon,3607547231,ripon,Ripon,80078
Mulgrave-et-Derry,3607547232,mulgraveetderry,Mulgrave-et-Derry,80085
Mayo,3607547233,mayo,Mayo,80065
L'Ange-Gardien,3607547234,langegardien,L'Ange-Gardien,21040
Saint-Sixte,3607549954,saintsixte,Saint-Sixte,80070
Lochaber,3607549955,lochaber,Lochaber,80055
Thurso,3607549956,thurso,Thurso,80050
Lochaber-Partie-Ouest,3607549957,lochaberpartieouest,Lochaber-Partie-Ouest,80060
Notre-Dame-de-la-Salette,3607570624,notredamedelasalette,Notre-Dame-de-la-Salette,80087
Coucoucache,3607570636,coucoucache,Coucoucache,90801
Boileau,3607572122,boileau,Boileau,80115
Fassett,3607572123,fassett,Fassett,80005
Notre-Dame-de-Bonsecours,3607572124,notredamedebonsecours,Notre-Dame-de-Bonsecours,80015
Montebello,3607572125,montebello,Montebello,80010
Saint-Émile-de-Suffolk,3607572126,saintemiledesuffolk,Saint-Émile-de-Suffolk,80125
Namur,3607572127,namur,Namur,80110
Notre-Dame-de-la-Paix,3607572128,notredamedelapaix,Notre-Dame-de-la-Paix,80020
Chénéville,3607572129,cheneville,Chénéville,80103
Saint-André-Avellin,3607572130,saintandreavellin,Saint-André-Avellin,80027
Papineauville,3607572131,papineauville,Papineauville,80037
Plaisance,3607572132,plaisance,Plaisance,80045
